userName,email,nickName,password,phoneNumber,sex,birthday,postNumber,address,result
,10353528237@qq.com,源,123456,18701773371,1,1997/1/21,201800,曹安公路4800号,FALSE
源,,源,123456,18701773371,1,1997/1/21,201800,曹安公路4800号,FALSE
,,源,123456,18701773371,1,1997/1/21,201800,曹安公路4800号,FALSE
Yuan,10353528237@qq.com,源,123456,18701773371,1,1997/1/21,201800,曹安公路4800号,FALSE
源,123456@qq.com,源,123456,18701773371,1,1997/1/21,201800,曹安公路4800号,FALSE
Yuan,123456@qq.com,源,123456,18701773371,1,1997/1/21,201800,曹安公路4800号,FALSE
源,10353528237@qq.com,源,###@@！,18701773371,1,1997/1/21,201800,曹安公路4800号,FALSE
源,10353528237@qq.com,源,123456,55555,1,1997/1/21,201800,曹安公路4800号,FALSE
源,10353528237@qq.com,源,123456,18701773371,1,7367/12/5,201800,曹安公路4800号,FALSE
源,10353528237@qq.com,源,123456,18701773371,1,1997/1/21,2018000,曹安公路4800号,FALSE
源,10353528237@qq.com,源,123456,18701773371,1,1997/1/21,201800,曹安公路48000号,FALSE
源,10353528237@qq.com,源,123456,18701773371,1,1997/1/21,201800,曹安公路4800号,TRUE
